initials;full-name;action-object;description
CA;Corazon Aquino;Marching ... Yellow Ribbon;
DD;Daffy Duck;
DB;Dagwood Bumstead;Sandwich-making ... Sandwich;
DB;David Ben-Gurion;
DT;Dick Tracy;
DH;Dirty Harry;Threatening ... .44 Magnum;
YZ;Dr. Yuri Zhivago;
EA;Earl Anthony;Bowling ... Bowling Ball;
ES;Ed Sullivan;Introducing ... Puppet (Topo Gigio);
ES;Edward Scissorhands;Trimming ... Bushes;
ET;Edward Thorp;Betting ... Playing Cards;
ER;Efren Reyes;Pool-shooting ... 8-Ball;
ER;Eleanor Roosevelt;Planting ... Garden Hoe;
ET;Elizabeth Taylor;
EM;Elon Musk;Rocketing ... Rocket;
EC;Enrico Caruso;Opera singing ... Feathered Hat;
EC;Eric Clapton;
FG;Forrest Gump;Ping-pong-playing ... Ping Pong Ball;
FL;Frank Lloyd Wright;Drawing ... Drawing Compass;
FW;Fred Waring;Blending ... Blender;
GK;Garry Kasparov;Checkmating ... Chess King;
GC;George Clooney;Tying ... Bow Tie;
GG;George Gershwin;Piano-playing ... Piano;
GB;George W. Bush;Walking ... Dog;
GA;Giorgio Armani;Tailoring ... Suitcoat;
HH;Harold Hill;Marching ... Trombone;
HC;Harry Caray;Commentating ... Big Eyeglasses;
HT;Harry Truman;Detonating ... Atomic Bomb;
HB;Humphrey Bogart;
IM;Iron Man;
JR;J.K.Rowling;
JB;Jack Bauer;
JN;Jack Nicklaus;Golfing ... Golf Ball;
JC;Jackie Chan;
JK;Jackie Kennedy;Mourning ... Pink Pillbox Hat;
JB;James Bond;Shooting ... Handgun;
JD;James Dean;
JW;Jan-Ove Waldner;Ping-ponging ... Ping pong ball;
JA;Jane Addams;
JB;Jeff Bezos;Delivering ... Amazon Box;
JB;Jerry Baldwin;Roasting ... Coffee Beans;
JF;Jimmy Fallon;Hosting ... Oscars;
JM;Joe Montana;Spiral-throwing ... Football;
JL;John Lennon;
JW;John Wooden;Coaching ... Rolled Pamphlet;
JC;Johnny Carson;Promoting ... Microphone;
JC;Johnny Cash;
JS;Jonas Salk;Injecting ... Syringe;
JR;Julia Roberts;
KW;Karl Wallenda;Tightroping ... Balance Pole;
KS;Kelly Slater;Surfing ... Surfboard;
KF;Kermit the Frog;
LP;Larry Page;Wiring ... Server Rack;
SB;Sergey Brin;Wiring ... Server Rack;
MT;Margaret Thatcher;Finger-pointing ... Milk Bottle;
MT;Maria von Trapp;Pedaling ... Bicycle;
MM;Marilyn Monroe;
MB;Marlon Brando;
MO;Mehmet Oz;Operating on ... Heart;
MG;Mikhail Gorbachev;
ME;Mister Ed;Pool-shooting ... 8-ball;
MF;Morgan Freeman;Catching ... Baseball Glove;
MP;Mr. Potato Head;Reconfiguring ... Potato;
N;Neo;Dodging ... Bullets;
NT;Nikola Tesla;
PP;Pablo Picasso;Sculpting ... Sculpture;
PT;Phil Taylor;Dart-throwing ... Dartboard;
P;Pikachu;Electrifying ... Pokémon Ball;
P;Pinocchio;
RC;Rachel Carson;Microscoping ... Microscope;
R;Rafiki;Pride Rock-presenting ... Walking Stick;
RB;Randy Barnes;Shot putting ... Shot;
RK;Ray Kroc;Selling ... Big Mac;
RP;Regis Philbin;
RH;Robin Hood;Bow-shooting ... Arrow;
RM;Ronald McDonald;Selling ... Big Mac;
SW;Sam Walton;
SD;Sandra Day O'Connor;Rapping ... Gavel;
SD;Seven Dwarfs;Mining ... Diamonds;
S;Shrek;
SF;Sigmund Freud;
SG;Speedy Gonzales; ... Cheese;
SH;Stephen Hawking;Focusing ... Telescope;
T;Tarzan;Swinging from ... Vine;
TD;Tasmanian Devil;Tornadoing through ... Boulder;
TR;Teddy Roosevelt;Rifle-hunting ... Teddy Bear;
LM;The Little Mermaid;
T;Thor;
TH;Thor Heyerdahl;Sailing ... Raft;
T;Tim "The Toolman";Circular-sawing ... Circular Saw;
TS;Tom Sawyer;Paddling ... Raft;
HF;Huckleberry Finn;Paddling ... Raft;
WD;Walt Disney;Animating ... Mickey Mouse;
WW;William Wallace;Sword-fighting ... Sword;
WC;Winston Churchill;
WW;Wonder Woman;Lassoing ... Lasso of Truth;
WW;Woodrow Wilson;Writing ... Fountain Pen;
W;Woody;Tipping ... Cowboy Hat;
WW;Woody Woodpecker;Poolshooting ... 8-ball;
