initials;full-name;action-object;description
PH;Poppa Henry;;The Good Dinosaur
PA;Princess Atta;;A Bug's Life
PD;Princess Dot;;A Bug's Life
PK;Professor Knight;;Monsters University
PZ;Professor Zündapp;;Cars 2
TQ;The Queen;;A Bug's Life
QE;The Queen of England;;Cars 2
R;Ramone;;Cars
R;Ramsey;;The Good Dinosaur
RB;Randall Boggs;;Monsters, Inc.
RC;RC;;Toy Story
R;Red;;Cars
R;Referee;;Monsters University
R;Remy;;Ratatouille
RD;Rex the Dinosaur;;Toy Story
RD;Rick Dicker;;The Incredibles
RA;Riley Anderson;;Inside Out
RD;Riley's Dad;;Inside Out
RM;Riley's Mom;;Inside Out
RR;Rod "Torque" Redline;;Cars 2
R;Rosie;;A Bug's Life
R;Roz;;Monsters, Inc.
R;Russell;;Up
S;Sadness;;Inside Out
SC;Sally Carrera;;Cars
S;Sanjay;;Sanjay's Super Team
S;Sarge;;Cars
S;Sarge;;Toy Story
SS;Scott "Squishy" Squibbles;;Monsters University
S;Scud;;Toy Story
S;Sheriff;;Cars
SW;Sheriff Woody;;Toy Story
SS;Sherri Squibbles;;Monsters University
SP;Sid Phillips;;Toy Story
S;Siddeley;;Cars 2
S;Skinner;;Ratatouille
S;Slim;;A Bug's Life
SD;Slinky Dog;;Toy Story
S;Slug;;Monsters University
S;Spot;;The Good Dinosaur
SA;Squeeze Toy Aliens;;Toy Story
S;Squirt;;Finding Nemo
SP;Stinky Pete the Prospector;;Toy Story 2
S;Stretch;;Toy Story 3
SW;Strip Weathers;;Cars
S;Syndrome/Buddy Pine;;The Incredibles
TP;Terri Perry;;Monsters University
TP;Terry Perry;;Monsters University
T;Thunderclap;;The Good Dinosaur
T;Timmy;;Party Central
T;Tom;;Up
T;Tomber;;Cars 2
T;Tony;;Monsters, Inc.
TR;Tony Rydinger;;The Incredibles
TT;Tony Trihull;;Cars 2
TB;Tour Guide Barbie;;Toy Story 2
T;Trixie;;Toy Story 3
TR;Tuck and Roll;;A Bug's Life
T;Twitch;;Toy Story 3
U;Uku;;Lava
UT;Uncle Topolino;;Cars 2
U;Underminer, The;;The Incredibles
VP;Violet Parr;;The Incredibles
WE;WALL-E;;WALL-E
WD;Wee Dingwall;;Brave
WP;Wheezy the Penguin;;Toy Story 2
W;Witch, The;;Brave
YA;Young Andy;;Toy Story 3
YM;Young MacGuffin;;Brave
YM;Young Macintosh;;Brave
YM;Young Merida;;Brave
YM;Young Mike;;Monsters University
