initials;full-name;action-object;description
CF;Chi-Fu;;Mulan
C;Chicha;;The Emperor's New Groove
CL;Chicken Little;;Chicken Little
C;Chief;;The Fox and the Hound
CB;Chief Bogo;;Zootopia
CP;Chief Powhatan;;Pocahontas
CP;Chien-Po;;Mulan
C;Chip;;Private Pluto
CP;Chip Potts;;Beauty and the Beast
CR;Christopher Robin;;Winnie the Pooh and the Honey Tree
C;Cinderella;;Cinderella
CA;Circus Animals;;Dumbo
C;Clank;;Disney Fairies
CC;Clara Cluck;;Orphan's Benefit
CC;Clarabelle Cow;;Plane Crazy
C;Clayton;;Tarzan
C;Cleo;;Pinocchio
C;Clio;;Hercules
CD;Cloak and Dagger;;The Little Mermaid II: Return to the Sea
CT;Clopin Trouillefou;;The Hunchback of Notre Dame
C;Clotho;;Hercules
C;Clover;;Sofia the First
TC;The Coachman;;Pinocchio
CB;Cobra Bubbles;;Lilo & Stitch
C;Codfish;;Bedknobs and Broomsticks
C;Cody;;The Rescuers Down Under
C;Cogsworth;;Beauty and the Beast
C;Colette;;Lady and the Tramp II: Scamp's Adventure
TC;The Colonel;;101 Dalmatians
CH;Colonel Hathi;;The Jungle Book
LR;Commander Lyle Rourke;;Atlantis: The Lost Empire
C;Cookie;;Atlantis: The Lost Empire
C;Copper;;The Fox and the Hound
CR;Cornelius Robinson;;Meet the Robinsons
CR;Cousin Randy;;The Princess and the Frog
C;Crane;;Belle's Magical World
C;Creeper;;The Black Cauldron
CK;Cri-Kee;;Mulan
TC;The Crocodile (Tick Tock);;Peter Pan
CV;Cruella de Vil;;101 Dalmatians
CD;Crumbelina DiCaramello;;Wreck-It Ralph
C;Cubby;;Peter Pan
CP;Cyril Proudbottom;;The Adventures of Ichabod and Mr. Toad
DD;Daisy Duck;;Private Pluto
D;Dallben;;The Black Cauldron
D;Danielle;;Lady and the Tramp II: Scamp's Adventure
D;Danny;;Return to Never Land
D;Darby;;My Friends Tigger & Pooh
D;Darling;;Lady and the Tramp
D;Dash;;The Little Mermaid II: Return to the Sea
DK;David Kawena;;Lilo & Stitch
D;Demetrius;;Hercules
D;Denahi;;Brother Bear
DB;Derek Blunt;;Darkwing Duck
D;DeSoto;;Oliver & Company
D;Dewey;;Donald's Nephews
DB;Dex Barrington;;The Country Bears
D;Diablo;;Sleeping Beauty
DM;Digger the Mole;;The Rescuers
DT;Dijon the Thief;;DuckTales
DC;Dinah the Cat;;Alice in Wonderland
DD;Dinah the Dachshund;;The Sleepwalker
D;Dinky;;The Fox and the Hound
TD;The Director;;Bolt
D;Dixie;;The Fox and the Hound 2
DV;Dizzie the Vulture;;The Jungle Book
D;Djali;;The Hunchback of Notre Dame
D;Doc;;Snow White and the Seven Dwarfs
DM;Doctor Mouse;;The Rescuers Down Under
D;Dodger;;Oliver & Company
TD;The Dodo;;Alice in Wonderland
DC;The Dog Catcher;;Lady and the Tramp II: Scamp's Adventure
D;Doli;;The Black Cauldron
DK;Don Karnage;;TaleSpin
DD;Donald Duck;;The Wise Little Hen
DD;Doofus Drake;;DuckTales
TD;The Doorknob;;Alice in Wonderland
TD;The Doorman;;Cinderella
D;Dopey;;Snow White and the Seven Dwarfs
D;Doris;;Meet the Robinsons
TD;The Dormouse;;Alice in Wonderland
DR;Doug Ramses;;Zootopia
DC;Dr. Calico;;Bolt
DD;Dr. David Q. Dawson;;The Great Mouse Detective
DD;Dr. Doppler;;Treasure Planet
DF;Dr. Facilier;;The Princess and the Frog
DF;Dr. Forrester;;Bolt
DH;Dr. Jacques von Hamsterviel;;Stitch! The Movie
DS;Dr. Joshua Sweet;;Atlantis: The Lost Empire
DJ;Dr. Jumba Jookiba;;Lilo & Stitch
DB;Dr. Reginald Bushroot;;Darkwing Duck
DM;Drake Mallard (Darkwing Duck);;Darkwing Duck
DT;Drizella Tremaine;;Cinderella
D;Duchess;;The Aristocats
D;Duchess;;One Hundred and One Dalmatians
D;Duckworth;;DuckTales
D;Duke;;Fantasia 2000
DW;Duke of Weselton;;Frozen
DW;Duke Weaselton;;Zootopia
D;Dumbo;;Dumbo
D;Duncan;;Wreck-It Ralph
E;Ed;;The Lion King
EB;Edgar Balthazar the Butler;;The Aristocats
E;Edward;;Return to Never Land
E;Eema;;Dinosaur
E;Eeyore;;Winnie the Pooh and the Honey Tree
E;Einstein;;Oliver & Company
EC;El Capitan;;DuckTales
EB;Eli "Big Daddy" La Bouff;;The Princess and the Frog
EM;Ellie Mae;;The Rescuers
E;Elliott;;Pete's Dragon
EE;Elmer Elephant;;Silly Symphonies
E;Elsa;;Frozen
EO;Emmitt Otterton;;Zootopia
EC;Emperor of China;;Mulan
TE;The Enchantress;;Beauty and the Beast: The Enchanted Christmas
E;Esmeralda;;The Hunchback of Notre Dame
E;Eudora;;The Princess and the Frog
E;Evangaline;;The Princess and the Frog
E;Evinrude;;The Rescuers
FL;Fa Li;;Mulan
FZ;Fa Zhou;;Mulan
F;Fagin;;Oliver & Company
FG;Fairy Godmother;;Cinderella
FM;Fairy Mary;;Disney Fairies
F;Faline;;Bambi
FR;Fall-Apart Rabbit;;Bonkers
F;Faloo;;The Rescuers Down Under
FC;Fat Cat;;Chip 'n Dale Rescue Rangers
FW;Father Wolf;;The Jungle Book
F;Fauna;;Sleeping Beauty
F;Fawn;;Disney Fairies
FC;Felicia the Cat;;The Great Mouse Detective
FC;Fenton Crackshell (Gizmoduck);;DuckTales
FH;Fenton Q. Harcourt;;Atlantis: The Lost Empire
FF;Ferdie Fieldmouse;;Mickey's Steam Roller
FB;Ferdinand the Bull;;Silly Symphonies
FF;Fflewddur Fflam;;The Black Cauldron
F;Fidget;;The Great Mouse Detective
FP;Fiddler Pig;;Three Little Pigs
FP;Fife the Piccolo;;Beauty and the Beast: The Enchanted Christmas
FP;Fifer Pig;;Three Little Pigs
FF;Fifi the Featherduster;;Beauty and the Beast
FC;Figaro the Cat;;Pinocchio
F;Figment;;Journey into Imagination with Figment
F;Finnick;;Zootopia
FA;First Ancestor Fa;;Mulan
TF;The Firebird;;Fantasia 2000
FW;Fish Out of Water;;Chicken Little
FF;Fix-It Felix, Jr.;;Wreck-It Ralph
FV;Flaps the Vulture;;The Jungle Book
FS;Flash Slothmore;;Zootopia
FG;Flintheart Glomgold;;DuckTales
F;Flit;;Pocahontas
F;Flora;;Sleeping Beauty
FJ;Flotsam and Jetsam;;The Little Mermaid
F;Flounder;;The Little Mermaid
F;Flower;;Bambi
FB;Flunkey the Baboon;;The Jungle Book
FR;Flynn Rider;;Tangled
F;Footman;;Cinderella
PO;Forte the Pipe Organ;;Beauty and the Beast: The Enchanted Christmas
FL;Foxy Loxy;;Chicken Little
F;Fran;;Higglytown Heroes
F;Francis;;Oliver & Company
F;Francois;;Lady and the Tramp II: Scamp's Adventure
F;Francois;;The Rescuers Down Under
F;Frank;;The Rescuers Down Under
FF;Frankie the Frog;;Meet the Robinsons
FR;Franny Robinson;;Meet the Robinsons
F;Fred;;Timon and Pumbaa
FT;Friar Tuck;;Robin Hood
FO;Friend Owl;;Bambi
FF;Frou-Frou;;The Aristocats
GH;Gadget Hackwrench;;Chip 'n Dale Rescue Rangers
GM;Gaetan "Mole" Moliére;;Atlantis: The Lost Empire
CG;Captain Gantu;;Lilo & Stitch
G;Gaston;;Beauty and the Beast
G;Gazelle;;Zootopia
GH;General Hologram;;Wreck-It Ralph
GL;General Li;;Mulan
G;Genie;;Aladdin
GD;George Darling;;Peter Pan
GH;Georges Hautecourt;;The Aristocats
G;Georgette;;Oliver & Company
G;Geppetto;;Pinocchio
GE;Giddy the Elephant;;Dumbo
G;Gideon;;Pinocchio
G;Giselle;;Enchanted
GG;Gladstone Gander;;DuckTales
G;Gliss;;Secret of the Wings
GG;Glittering Goldie;;DuckTales
GO;Gloyd Orangeboar;;Wreck-It Ralph
G;Goob;;Meet the Robinsons
G;Goofy;;Mickey's Revue
GL;Goosey Loosey;;Chicken Little
G;Gopher;;Winnie the Pooh and the Honey Tree
GM;Gosalyn Mallard;;Darkwing Duck
JR;Governor John Ratcliffe;;Pocahontas
G;Grace;;Home on the Range
GT;Gramma Tala;;Moana
G;Gramps;;The Rescuers
GC;Grand Councilwoman;;Lilo & Stitch
GD;The Grand Duke;;Cinderella
GD;Grandma Duck;;This is Your Life, Donald Duck
GF;Grandmother Fa;;Mulan
GW;Grandmother Willow;;Pocahontas
GR;Granny Rose;;The Fox and the Hound 2
GW;Greasy the Weasel;;Who Framed Roger Rabbit
GP;Great Prince of the Forest;;Bambi
G;Grimsby;;The Little Mermaid
G;The Groundhog;;Bambi II
G;Grumpy;;Snow White and the Seven Dwarfs
G;Gurgi;;The Black Cauldron
GL;Gus Lollygagger;;Cinderella
GG;Gus Goose;;Donald's Cousin Gus
GG;Gyro Gearloose;;DuckTales
HH;Hades;;Hercules
H;Hands;;Treasure Planet
H;Happy;;Snow White and the Seven Dwarfs
HS;Harold the Seahorse;;The Little Mermaid
HH;Haroud Hazi Bin;;Aladdin (TV series)
HF;Harvey Fenner;;The Princess and the Frog
HH;Headless Horseman;;The Adventures of Ichabod and Mr. Toad
HR;Heihei the Rooster;;Moana
HS;Helga Sinclair;;Atlantis: The Lost Empire
HW;Hen Wen;;The Black Cauldron
HF;Henry Fenner;;The Princess and the Frog
HH;Hera;;Hercules
HM;Herb Muddlefoot;;Darkwing Duck
H;Hercules;;Hercules
H;Hermes;;Hercules
HF;Hiram Flaversham;;The Great Mouse Detective
HC;Hit Cat the English Cat;;The Aristocats
HM;Honker Muddlefoot;;Darkwing Duck
HH;Hook Hand;;Tangled
H;Hoonah;;Brother Bear 2
HJ;Horace & Jasper;;101 Dalmatians
HH;Horace Horsecollar;;The Plow Boy
HK;The Horned King;;The Black Cauldron
H;Huey;;Donald's Nephews
H;Hugo;;The Hunchback of Notre Dame
HH;Humbert the Huntsman;;Snow White and the Seven Dwarfs
HB;Humphrey the Bear;;Hold That Pose
HH;Hyacinth Hippo;;Fantasia
I;Iago;;Aladdin
IA;Ian the Alligator;;The Princess and the Frog
IC;Ichabod Crane;;The Adventures of Ichabod and Mr. Toad
IC;The Indian Chief;;Peter Pan
I;Innoko;;Brother Bear 2
I;Iridessa;;Disney Fairies
AW;J. Audubon Woodlore;;Grin and Bear It
GH;J. Gander Hooter;;Darkwing Duck
TT;J. Thaddeus Toad;;The Adventures of Ichabod and Mr. Toad
WF;J. Worthington Foulfellow;;Pinocchio
JB;Jack-in-the-Box;;Fantasia 2000
JH;Jackson "Jaq" Hopscotch;;Cinderella
J;Jafar;;Aladdin
J;Jake;;The Rescuers Down Under
J;Jane;;Return to Never Land
JP;Jane Porter;;Tarzan
JG;Jeb the Goat;;Home on the Range
JF;Jennifer "Jenny" Foxworth;;Oliver & Company
JW;Jenny Wren;;Silly Symphonies
JJ;Jerry Jumbeaux Jr.;;Zootopia
JR;Jesse the Ram;;Zootopia
JR;Jessica Rabbit;;Who Framed Roger Rabbit
JC;Jim Crow;;Dumbo
JD;Jim Dear;;Lady and the Tramp
JH;Jim Hawkins;;Treasure Planet
JC;Jiminy Cricket;;Pinocchio
JJ;Jobless Joe;;Fantasia 2000
J;Jock;;Lady and the Tramp
JG;Joe Giraffe;;Silly Symphonies
JH;Joey Hippo;;Silly Symphonies
JD;John Darling;;Peter Pan
JS;John Silver;;Treasure Planet
JA;Johnny Appleseed;;Melody Time
JB;Jubileena Bing-Bing;;Wreck-It Ralph
CF;Judge Claude Frollo;;The Hunchback of Notre Dame
JD;Judge Doom;;Who Framed Roger Rabbit
JH;Judy Hopps;;Zootopia
J;June;;House of Mouse
J;Junior;;The Jungle Book
JB;Junior the Buffalo;;Home on the Range
K;Kaa;;The Jungle Book
K;Kala;;Tarzan
K;Kanga;;Winnie the Pooh and the Honey Tree
K;Kata;;Brother Bear 2
KT;Katrina Van Tassel;;The Adventures of Ichabod and Mr. Toad
K;Kekata the Medicine man;;Pocahontas
K;Kenai;;Brother Bear
K;Kerchak;;Tarzan
K;Kiara;;The Lion King II: Simba's Pride
TK;The King;;Cinderella
KH;The King of Hearts;;Alice in Wonderland
KC;King Candy/Turbo;;Wreck-It Ralph
KE;King Eiddileg;;The Black Cauldron
KH;King Hubert;;Sleeping Beauty
KN;King Kashekim Nedakh;;Atlantis: The Lost Empire
KL;King Leonidas;;Bedknobs and Broomsticks
KL;King Louie;;The Jungle Book
KR;King Richard;;Robin Hood
KR;King Roland II;;Sofia the First
KS;King Stefan;;Sleeping Beauty
KT;King Triton;;The Little Mermaid
K;Kirby;;Chicken Little
K;Kocoum;;Pocahontas
K;Koda;;Brother Bear
K;Kovu;;The Lion King II: Simba's Pride
K;Krebbs;;The Rescuers Down Under
K;Kristoff;;Frozen
K;Kron;;Dinosaur
KP;Kronk Pepikrankenitz;;The Emperor's New Groove
K;Kuzco;;The Emperor's New Groove
