initials;full-name;action-object;description
PE;Princess Eilonwy;;The Black Cauldron
PJ;Princess Jasmine;;Aladdin
PK;Princess Kidagakash;;Atlantis: The Lost Empire
PM;Principal Mazur;;A Goofy Movie
PE;Prissy the Elephant;;Dumbo
NN;Professor Norton Nimnul;;Chip 'n Dale Rescue Rangers
PR;Professor Ratigan;;The Great Mouse Detective
P;Pronk Oryx-Antlerson;;Zootopia
P;Prudence;;Cinderella II: Dreams Come True
PW;Psycho the Weasel;;Who Framed Roger Rabbit
P;Pumbaa;;The Lion King
Q;Quackerjack;;Darkwing Duck
Q;Quasimodo;;The Hunchback of Notre Dame
Q;Queen;;Tangled Ever After
QA;Queen Athena;;The Little Mermaid: Ariel's Beginning
QC;Queen Clarion;;Disney Fairies
QG;Queen Grimhilde;;Snow White and the Seven Dwarfs
QL;Queen Leah;;Sleeping Beauty
QM;Queen Miranda;;Sofia the First
QM;Queen Mousetoria;;The Great Mouse Detective
QN;Queen Narissa;;Enchanted
QH;The Queen of Hearts;;Alice in Wonderland
Q;Quint;;Timon and Pumbaa
R;Rabbit;;Winnie the Pooh and the Honey Tree
R;Rachel;;Fantasia 2000
R;Rafiki;;The Lion King
R;Rajah;;Aladdin
RF;Rancis Fluggerbutter;;Wreck-It Ralph
R;Rapunzel;;Tangled
R;Ratty;;The Adventures of Ichabod and Mr. Toad
RF;Ray the Firefly;;The Princess and the Frog
R;Razoul;;Aladdin
R;Red;;The Rescuers Down Under
R;Rhino;;Bolt
RD;Rhoda Dendron;;Darkwing Duck
R;Rico;;Home on the Range
R;The Ringmaster;;Dumbo
R;Rita;;Oliver & Company
RZ;Robert "Bobby" Zimmeruski;;A Goofy Movie
RH;Robin Hood;;Robin Hood
RR;Roger Rabbit;;Who Framed Roger Rabbit
RR;Roger Radcliffe;;101 Dalmatians
R;Rolly;;One Hundred and One Dalmatians
R;Ronno;;Bambi II
R;Roo;;Winnie the Pooh and the Honey Tree
RM;Roquefort the Mouse;;The Aristocats
R;Roscoe;;Oliver & Company
TR;The Rose;;Alice in Wonderland
R;Rosetta;;Disney Fairies
R;Roxanne;;A Goofy Movie
R;Ruby;;Lady and the Tramp II: Scamp's Adventure
R;Rufus;;The Rescuers
RL;Runt of the Litter;;Chicken Little
RD;Rusty the Dog;;Home on the Range
RT;Rutt and Tuke;;Brother Bear
S;Sa'luk;;Aladdin and the King of Thieves
S;Sadira;;Aladdin (TV series)
SF;Sam Flynn;;Tron: Legacy
SS;Sam the Sheriff;;Home on the Range
S;Sarabi;;The Lion King
S;Sarafina;;The Lion King
SH;Sarah Hawkins;;Treasure Planet
S;Sarousch;;The Hunchback of Notre Dame II
S;Scamp;;Lady and the Tramp II: Scamp's Adventure
S;Scar;;The Lion King
SC;Scat Cat;;The Aristocats
S;Scratchy;;Lady and the Tramp II: Scamp's Adventure
SM;Scrooge McDuck;;DuckTales
S;Scroop;;Treasure Planet
S;Scuttle;;The Little Mermaid
S;Sebastian;;The Little Mermaid
SB;Secretary Bird;;Bedknobs and Broomsticks
SC;Sergeant Calhoun;;Wreck-It Ralph
ST;Sgt. Tibbs;;101 Dalmatians
SY;Shan Yu;;Mulan
S;Shanti (The Girl);;The Jungle Book
S;Sha-ron;;Mulan 2
S;Shenzi;;The Lion King
SK;Shere Khan;;The Jungle Book
SN;Sheriff of Nottingham;;Robin Hood
SG;Shun Gon the Chinese Cat;;The Aristocats
SA;Si & Am;;Lady and the Tramp
S;Silvermist;;Disney Fairies
S;Simba;;The Lion King
SE;Sir Ector;;The Sword in the Stone
SG;Sir Giles;;The Reluctant Dragon
SH;Sir Hiss;;Robin Hood
SK;Sir Kay;;The Sword in the Stone
SP;Sir Pellinore;;The Sword in the Stone
SB;Sis Bunny;;Robin Hood
S;Sitka;;Brother Bear
SB;Skippy Bunny;;Robin Hood
S;Sleepy;;Snow White and the Seven Dwarfs
S;Slightly;;Peter Pan
SW;Smarty the Weasel;;Who Framed Roger Rabbit
SB;Smolder the Bear;;Timon and Pumbaa
S;Sneezy;;Snow White and the Seven Dwarfs
SW;Snow White;;Snow White and the Seven Dwarfs
SR;Snowanna Rainbeau;;Wreck-It Ralph
PS;Princess Sofia;;Sofia the First
SB;Sour Bill;;Wreck-It Ralph
S;Sparky;;Lady and the Tramp II: Scamp's Adventure
SS;Speedy the Snail;;Timon and Pumbaa
S;Spot;;101 Dalmatians: The Series
SS;Spring Sprite;;Fantasia 2000
SC;Squeaks the Caterpillar;;The Fox and the Hound
SB;Stabbington Brothers;;Tangled
S;Steelbeak;;Darkwing Duck
S;Stitch;;Lilo & Stitch
S;Stromboli;;Pinocchio
SH;Stu Hopps;;Zootopia
SW;Stupid the Weasel;;Who Framed Roger Rabbit
TS;The Sultan;;Aladdin
SF;Sultan the Footstool;;Beauty and the Beast
S;Suri;;Dinosaur
S;Sven;;Frozen
SM;Swizzle "The Swizz" Malarkey;;Wreck-It Ralph
S;Sykes;;Oliver & Company
SM;Sylvia Marpole;;An Extremely Goofy Movie
TH;Tadashi Hamada;;Big Hero 6
TM;Taffyta Muttonfudge;;Wreck-It Ralph
TB;Tagalong Bunny;;Robin Hood
T;Tamatoa;;Moana
T;Tanana;;Brother Bear
T;Tank;;An Extremely Goofy Movie
TM;Tank Muddlefoot;;Darkwing Duck
T;Tantor;;Tarzan
TM;Tantor's Mother;;Tarzan
T;Taran;;The Black Cauldron
T;Tarzan;;Tarzan
TB;Taurus Bulba;;Darkwing Duck
TB;Ted Betterhead;;The Country Bears
T;Terence;;Disney Fairies
T;Terk;;Tarzan
T;Terpsichore;;Hercules
T;Thalia;;Hercules
T;Thomas;;Pocahontas
TO;Thomas O'Malley;;The Aristocats
T;Thug;;Bolt
T;Thumper;;Bambi
TM;Thumper's Mother;;Bambi
T;Tiana;;The Princess and the Frog
TL;Tiger Lily;;Peter Pan
T;Tigger;;Winnie the Pooh and the Blustery Day
TT;Tillie Tiger;;Silly Symphonies
T;Timon;;The Lion King
TM;Timon's Mother;;The Lion King 1½
TM;Timothy Q. Mouse;;Dumbo
T;Tina;;Chicken Little
TB;Tinker Bell;;Peter Pan
TT;Tino Tonitini;;The Weekenders
T;Tiny;;Meet the Robinsons
T;Tip;;The Little Mermaid II: Return to the Sea
T;Tipo;;The Emperor's New Groove
T;Tito;;Oliver & Company
TR;Tobias the Reluctant Dragon;;The Reluctant Dragon
TD;Toby the Dog;;The Great Mouse Detective
TT;Toby Tortoise;;The Tortoise and the Hare
TT;Toby Turtle;;Robin Hood
T;Tod;;The Fox and the Hound
T;Tootles;;Peter Pan
T;Toots;;Bonkers
T;Toulouse;;The Aristocats
T;Tramp;;Lady and the Tramp
TV;Trigger the Vulture;;Robin Hood
T;Trusty;;Lady and the Tramp
T;Tug;;Brother Bear
T;Tui;;Moana
TL;Turkey Lurkey;;Chicken Little
T;Tuskernini;;Darkwing Duck
TT;Tweedledum and Tweedledee;;Alice in Wonderland
TF;Two Fingers;;The Princess and the Frog
UA;Uncle Art;;Meet the Robinsons
UM;Uncle Max;;The Lion King 1½
UW;Uncle Waldo;;The Aristocats
U;Url;;Dinosaur
U;Ursula;;The Little Mermaid
VS;Vanellope von Schweetz;;Wreck-It Ralph
V;Vanessa (The Little Mermaid);;The Little Mermaid
VC;Veteran Cat;;Bolt
V;Victor;;The Hunchback of Notre Dame
V;Vidia;;Disney Fairies
VS;Vincenzo "Vinny" Santorini;;Atlantis: The Lost Empire
V;Vitani;;The Lion King II: Simba's Pride
V;Vixey;;The Fox and the Hound
VG;Vladimir Goudenov Grizzlikof;;Darkwing Duck
VP;Vulture Police;;Timon and Pumbaa
W;Waffles;;Goof Troop
TW;The Walrus;;Alice in Wonderland
WV;Webby Vanderquack;;DuckTales
W;Webster;;Belle's Magical World
WD;Wendy Darling;;Peter Pan
W;Wesley;;Home on the Range
WW;Wheezy the Weasel;;Who Framed Roger Rabbit
WR;White Rabbit;;Alice in Wonderland
WT;Widow Tweed;;The Fox and the Hound
W;Wiggins;;Pocahontas
W;Wilbur;;The Rescuers Down Under
WR;Wilbur Robinson;;Meet the Robinsons
WP;Wilhelmina Packard;;Atlantis: The Lost Empire
WG;Willie the Giant;;Fun and Fancy Free
WE;Winifred the Elephant;;The Jungle Book
WB;Winkie the Barman;;The Adventures of Ichabod and Mr. Toad
WP;Winnie the Pooh;;Winnie the Pooh and the Honey Tree
W;Winston;;Oliver & Company
W;Witherspoon;;Belle's Magical World
WR;Woolter the Ram;;Zootopia
WR;Wormwood the Raven;;Sofia the First
WR;Wreck-It Ralph;;Wreck-It Ralph
W;Wynchel;;Wreck-It Ralph
Y;Yao;;Mulan
Y;Yar;;Dinosaur
Y;Yax;;Zootopia
YS;Yen Sid;;Fantasia
YY;Yo-Yo;;Fantasia 2000
Y;Yzma;;The Emperor's New Groove
Z;Zarina;;The Pirate Fairy
Z;Zazu;;The Lion King
Z;Zephyr;;The Hunchback of Notre Dame II
Z;Zeus;;Hercules
ZV;Ziggy the Vulture;;The Jungle Book
Z;Zini;;Dinosaur
Z;Zipper;;Chip 'n Dale Rescue Rangers
